"Team","H","2B","3B","HR","R","RBI","SB","BB%","K%","GB%","FB%","HR/FB","O-Swing%","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","Fld"
"LAD","1418","325","31","212","847","812","98","9.7%","22.0%","37.0%","41.2%","12.3%","29.4%",".302",".257",".333",".442",".337","119","19.9","159.0","1.3","38.9","20.5"
"TOR","1464","307","12","200","775","756","67","8.1%","20.2%","45.6%","34.8%","13.2%","31.2%",".305",".264",".329",".431",".331","117","-10.5","110.8","-9.5","31.2","9.3"
"ATL","1394","298","11","243","789","753","87","7.7%","24.6%","42.0%","38.7%","15.5%","34.8%",".303",".253",".317",".443",".330","111","9.7","85.1","-14.3","28.9","4.4"
"NYY","1308","225","8","254","807","764","102","10.0%","22.5%","41.2%","39.9%","15.7%","31.1%",".276",".241",".325",".426",".327","115","-5.7","98.6","41.5","35.3","60.3"
"STL","1386","290","21","197","772","739","95","8.7%","19.9%","41.2%","39.3%","11.6%","33.1%",".289",".252",".325",".420",".326","114","4.7","102.5","4.6","33.0","26.4"
"NYM","1422","272","27","171","772","735","62","8.3%","19.7%","43.8%","35.5%","11.2%","33.0%",".302",".259",".332",".412",".326","116","-10.7","103.4","-13.5","31.3","8.0"
"HOU","1341","284","13","214","737","715","83","8.7%","19.5%","40.7%","39.4%","12.8%","32.5%",".278",".248",".319",".424",".324","112","-8.9","75.0","14.8","29.7","33.4"
"PHI","1392","255","29","205","747","719","105","7.9%","22.4%","42.9%","36.8%","13.4%","34.3%",".299",".253",".317",".422",".322","106","9.9","50.9","-51.2","21.4","-32.6"
"BOS","1427","352","12","155","735","704","52","7.8%","22.3%","43.5%","35.7%","10.3%","33.6%",".313",".258",".321",".409",".319","102","-11.5","3.8","-30.8","17.7","-12.0"
"MIL","1271","251","17","219","725","703","96","9.4%","23.9%","42.2%","38.7%","14.2%","29.7%",".279",".235",".315",".409",".317","104","5.6","30.6","-5.7","24.2","12.7"
"MIN","1356","269","18","178","696","668","38","8.5%","22.1%","41.8%","37.5%","11.4%","32.3%",".295",".248",".317",".401",".315","107","-20.7","25.1","-17.5","21.2","1.3"
"COL","1408","280","34","149","698","669","45","7.4%","21.8%","46.8%","32.9%","10.7%","34.0%",".307",".254",".315",".398",".312","86","-2.6","-101.9","-39.3","6.7","-21.0"
"SFG","1261","255","18","183","716","683","64","9.3%","23.9%","40.2%","39.9%","11.7%","30.0%",".284",".234",".315",".390",".311","101","3.0","12.6","-70.9","15.5","-48.9"
"SEA","1236","229","19","197","690","663","83","9.7%","22.8%","40.4%","39.8%","12.4%","29.6%",".272",".230",".315",".390",".310","107","-10.0","37.5","-13.9","22.9","6.1"
"SDP","1317","275","18","153","705","682","49","9.3%","21.5%","42.6%","37.7%","9.8%","30.4%",".289",".241",".318",".382",".308","102","3.9","16.8","-23.5","21.1","-3.9"
"CHC","1293","265","31","159","657","620","111","8.3%","23.8%","45.7%","34.5%","11.5%","32.1%",".294",".238",".311",".387",".307","98","-1.7","-19.4","-34.1","15.8","-14.2"
"CHW","1435","272","9","149","686","654","58","6.3%","20.7%","45.4%","35.4%","9.7%","36.5%",".304",".256",".310",".387",".306","99","-3.0","-12.6","-37.7","15.2","-18.5"
"CLE","1410","273","31","127","698","662","119","7.3%","18.2%","44.4%","35.9%","7.9%","34.2%",".294",".254",".316",".383",".306","99","13.2","3.8","4.0","21.4","23.3"
"BAL","1281","275","25","171","674","639","95","7.9%","23.0%","39.0%","40.8%","10.4%","34.3%",".284",".236",".305",".390",".305","99","12.0","2.7","-14.7","19.0","4.4"
"TEX","1308","224","20","198","707","670","128","7.6%","24.0%","41.0%","39.4%","12.5%","33.6%",".287",".239",".301",".395",".305","98","18.8","5.0","-16.3","19.0","4.7"
"ARI","1232","262","24","173","702","658","104","8.8%","22.2%","44.3%","37.1%","11.6%","29.6%",".272",".230",".304",".385",".303","92","25.4","-27.4","13.7","19.9","33.7"
"WSN","1351","252","20","136","603","579","75","7.4%","20.4%","46.0%","33.2%","9.7%","33.9%",".295",".249",".310",".377",".303","93","-25.1","-75.3","-67.3","6.2","-48.1"
"TBR","1294","296","17","139","666","634","95","8.3%","23.2%","44.4%","35.5%","9.7%","32.5%",".295",".239",".309",".377",".302","101","4.0","12.9","-15.8","19.8","2.8"
"KCR","1327","247","38","138","640","613","104","7.7%","21.4%","41.8%","38.7%","8.6%","33.6%",".293",".244",".306",".380",".302","93","2.2","-48.6","-40.8","10.7","-21.6"
"LAA","1265","219","31","190","623","600","77","7.5%","25.7%","40.9%","39.7%","12.4%","31.4%",".289",".233",".297",".390",".300","93","-0.8","-47.4","-30.4","11.8","-12.4"
"CIN","1264","235","18","156","648","618","58","7.6%","23.9%","43.4%","35.2%","11.2%","33.3%",".290",".235",".304",".372",".299","84","-15.6","-123.6","-28.7","5.1","-10.7"
"MIA","1241","248","20","144","586","554","122","7.3%","24.0%","44.2%","35.4%","10.2%","33.9%",".284",".230",".294",".363",".290","88","-2.6","-84.2","-12.9","10.8","6.5"
"PIT","1186","221","29","158","591","555","89","8.1%","25.3%","44.1%","36.2%","11.4%","31.7%",".277",".222",".291",".364",".289","84","6.7","-101.8","-33.8","6.6","-15.4"
"DET","1240","235","27","110","557","530","47","6.5%","24.1%","44.7%","35.3%","7.8%","36.7%",".290",".231",".286",".346",".279","81","-8.6","-133.1","-29.5","2.6","-9.4"
"OAK","1147","249","15","137","568","537","78","7.4%","23.7%","45.0%","36.2%","9.6%","33.5%",".264",".216",".281",".346",".277","84","1.4","-105.0","-17.2","6.8","2.3"
