"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR"
"LAD","111","51","43","725","162","1451.1","9.08","2.52","0.94",".255","78.3%","42.5%","9.8%","93.2","2.80","","3.45","3.67","24.6"
"HOU","106","56","53","642","162","1445.1","9.49","2.85","0.83",".268","77.2%","42.7%","9.3%","94.4","2.90","","3.28","3.55","27.0"
"NYY","99","63","47","669","162","1451.2","9.05","2.75","0.97",".268","76.3%","44.1%","10.7%","95.1","3.30","","3.56","3.64","19.6"
"TBR","86","76","44","734","162","1435.2","8.68","2.41","1.08",".277","74.6%","42.5%","11.2%","94.2","3.41","","3.68","3.71","16.5"
"ATL","101","61","55","680","162","1448.0","9.66","3.11","0.92",".286","74.6%","43.5%","10.4%","94.7","3.46","","3.46","3.58","22.7"
"CLE","92","70","51","669","162","1456.0","8.59","2.69","1.06",".274","73.8%","42.5%","11.2%","93.3","3.47","","3.75","3.78","18.6"
"NYM","101","61","41","645","162","1438.2","9.79","2.68","1.06",".297","76.0%","43.3%","11.8%","94.3","3.58","","3.50","3.45","20.3"
"SEA","90","72","40","698","162","1447.0","8.65","2.78","1.16",".279","76.1%","39.8%","11.2%","93.8","3.59","","3.90","3.93","13.8"
"LAA","73","89","38","652","162","1435.2","8.67","3.39","1.05",".276","73.0%","42.2%","11.1%","94.1","3.79","","3.96","4.00","17.0"
"STL","93","69","37","628","162","1435.2","7.38","3.07","0.92",".287","74.2%","47.2%","10.7%","93.8","3.79","","3.94","4.03","13.4"
"SDP","89","73","48","649","162","1443.1","9.05","2.92","1.08",".282","73.5%","41.2%","11.1%","94.3","3.81","","3.82","3.86","19.3"
"MIL","86","76","52","710","162","1446.0","9.52","3.24","1.18",".280","72.9%","43.8%","13.4%","93.1","3.83","","3.92","3.66","14.9"
"SFG","81","81","39","738","162","1433.0","8.60","2.77","0.83",".310","70.0%","47.7%","9.8%","94.5","3.86","","3.43","3.63","20.0"
"MIA","69","93","41","694","162","1437.1","9.00","3.20","1.08",".295","73.8%","44.6%","12.6%","94.5","3.87","","3.90","3.75","14.1"
"TOR","92","70","46","746","162","1441.1","8.68","2.65","1.12",".295","73.4%","41.4%","11.4%","93.8","3.89","","3.85","3.84","17.0"
"CHW","81","81","48","711","162","1447.2","9.01","3.31","1.03",".295","71.2%","41.5%","10.5%","94.5","3.94","","3.81","3.93","17.3"
"BAL","83","79","46","703","162","1433.1","7.62","2.78","1.07",".296","73.2%","43.2%","10.9%","93.5","3.97","","4.03","4.10","11.9"
"PHI","87","75","42","678","162","1428.1","8.97","2.92","0.95",".302","71.2%","44.2%","10.6%","94.4","3.98","","3.60","3.70","22.7"
"MIN","78","84","28","710","162","1437.0","8.37","2.93","1.15",".285","73.3%","40.0%","11.0%","92.8","3.98","","4.03","4.10","10.7"
"CHC","74","88","44","690","162","1443.2","8.62","3.37","1.29",".287","73.5%","43.1%","13.5%","92.8","4.03","","4.33","4.04","8.7"
"DET","66","96","38","742","162","1419.2","7.58","3.24","1.06",".284","71.3%","41.7%","10.2%","93.0","4.04","","4.16","4.34","9.4"
"TEX","68","94","37","694","162","1435.0","8.24","3.64","1.06",".292","71.2%","45.9%","11.9%","94.7","4.22","","4.18","4.11","8.9"
"ARI","74","88","33","708","162","1430.0","7.65","3.17","1.20",".282","71.2%","39.8%","11.5%","92.6","4.25","","4.33","4.32","7.7"
"BOS","78","84","39","738","162","1431.0","8.47","3.31","1.16",".304","69.8%","42.8%","11.8%","94.1","4.53","","4.17","4.11","9.8"
"OAK","60","102","34","692","162","1426.1","7.59","3.17","1.23",".289","70.7%","41.4%","11.5%","92.9","4.54","","4.41","4.39","3.6"
"PIT","62","100","33","666","162","1421.0","7.92","3.71","1.04",".304","68.7%","43.9%","10.9%","93.8","4.66","","4.27","4.34","9.5"
"KCR","65","97","33","722","162","1416.0","7.57","3.74","1.10",".312","70.3%","43.8%","11.2%","93.9","4.72","","4.42","4.44","7.5"
"CIN","62","100","31","736","162","1423.1","8.94","3.87","1.35",".298","71.1%","40.6%","13.3%","94.7","4.86","","4.59","4.31","9.9"
"WSN","55","107","28","750","162","1411.2","7.78","3.56","1.56",".297","70.8%","41.5%","14.4%","93.7","5.00","","4.98","4.51","1.0"
"COL","68","94","43","659","162","1425.1","7.50","3.40","1.16",".312","66.8%","44.1%","12.1%","94.0","5.08","","4.38","4.29","12.6"
